txid,timestamp,collectionAddress,tokenId,owner,resource,amount,blockNumber
0x23d9f5c9485f265b1ae0c37f75ddd0c8af6e44cb51b4489907f184edeb864a39,2024-09-16T20:03:12.000Z,,2000,0x17DD8D739608Ba385588d747c490F1394dC2Fbb9,coconut,50000000000000000000,61907283
0x07377afa363b0160218250a5956ebb396c48fd343d20089b6ec706e57a98244b,2024-09-16T20:08:26.000Z,,2219,0x17DD8D739608Ba385588d747c490F1394dC2Fbb9,fish,7500000000000000000,61907431
0xbf84eafd3aa047d3942e0e341c50ebfee1d80328c811d5be908a8a80a230ca5c,2024-09-16T20:12:16.000Z,,1955,0x17DD8D739608Ba385588d747c490F1394dC2Fbb9,fish,7500000000000000000,61907539
0x8367d1751822ac9fd529a371218a793c24c45bf64f32e0f832b140ed8248a812,2024-09-17T21:59:12.000Z,,1147,0x54E24ca5423BEDaBb832E462222D67eD8dce70de,tobacco,300000000000000,61950652
0xfe8ff37dcffe1f06355f46cde71111f3c4e642047166278f58e269fa472a4ec0,2024-09-17T22:02:58.000Z,,760,0x54E24ca5423BEDaBb832E462222D67eD8dce70de,tobacco,866000000000000000,61950758
0x6618572a3f00bfacc5c63f976714a001970c5f4721943332d04d8ee585e0cac4,2024-09-17T22:20:20.000Z,,487,0x54E24ca5423BEDaBb832E462222D67eD8dce70de,pig,3300000000000000,61951233
0xab14f0f5823ba7a3888d0c73fd4739e56fb9323a76bdf79f575715b7bdbed717,2024-09-17T22:31:32.000Z,,313,0x54E24ca5423BEDaBb832E462222D67eD8dce70de,tobacco,6000000000000000,61951550
0x85653f5475fb6fe94409d08cc436b5b107374a08272ecd633edd66ccc91959e8,2024-09-30T15:33:01.000Z,,615,0x1302E7f449339B711eDeC50f80dC65610519F407,citrus,4500000000000000000,62465703
0xbd6b09d1b2d1f4342667253271feea267d794a0989c798d659d0814836bd022d,2024-10-01T10:54:42.000Z,,1433,0x1302E7f449339B711eDeC50f80dC65610519F407,tobacco,10000000000000000000,62498353
0x9d6d8617bc060b24b737b026f3168074f14b76443f537d131b37392e9ea4e7bf,2024-10-01T11:17:32.000Z,,615,0x1302E7f449339B711eDeC50f80dC65610519F407,coconut,10000000000000000000,62498998
0x47c373e31d07e6dc9f7e7fdc9569b53a02472a7101ba23067715e39cf522f275,2024-10-01T11:48:14.000Z,,615,0x1302E7f449339B711eDeC50f80dC65610519F407,coconut,10000000000000000000,62499865
0x61c698bf4ccb001b3491060f97fee8be5801c5365830862d4a1029cfd60f1e05,2024-10-01T11:53:40.000Z,,615,0x1302E7f449339B711eDeC50f80dC65610519F407,coconut,10000000000000000000,62500018
0x082a0c0cda0357596bce547391c96143680e938b20e676ecfcbfc791ebc1092d,2024-10-01T13:54:28.000Z,,615,0x1302E7f449339B711eDeC50f80dC65610519F407,coconut,10000000000000000000,62503429
0xbb8b672cd16a9ffe860a4c7ffdcb014a5a177c015da12f585ad805277f55f3ca,2024-10-01T14:30:20.000Z,,615,0x1302E7f449339B711eDeC50f80dC65610519F407,coconut,5000000000000000000,62504427
0x321f41f610f5d898905d0e4480dbb0d6069316ebae26cdfdd9c73e5d97eb5342,2024-10-01T14:57:10.000Z,,1433,0x1302E7f449339B711eDeC50f80dC65610519F407,grain,10000000000000000000,62505164
0x108ff315443ce96e5bfdc0f0fa18c6916727d3e8dd557e73dc282fcdf15ae699,2024-10-01T18:30:18.000Z,,634,0x56fC3795F8FeFA60B4Ec9EDD8E5F463b89CdE378,cotton,22400000000000000000,62511104
0xdbcb8928ccbfc47d898e75afe9fb31fc8df03f43826f6c8655373a8726d2b141,2024-10-01T18:36:02.000Z,,1341,0x56fC3795F8FeFA60B4Ec9EDD8E5F463b89CdE378,fish,36000000000000000000,62511266
0x512f317de47e4ee3a44b7ad517d3226731773c2fb278ea1433dc75ac52ca4a28,2024-10-01T18:40:18.000Z,,439,0x56fC3795F8FeFA60B4Ec9EDD8E5F463b89CdE378,cotton,9600000000000000000,62511387
0xaf95a1f9de7e2c32332bcf234c2ffca0ceb84db48ae983d5c6e9aa9594d0619a,2024-10-01T18:43:26.000Z,,439,0x56fC3795F8FeFA60B4Ec9EDD8E5F463b89CdE378,coconut,40000000000000000000,62511475
0xeba042f9b16946e790826476b70514bce2b5df37a50db9e3931d5673ecc778f1,2024-10-01T18:47:26.000Z,,512,0x56fC3795F8FeFA60B4Ec9EDD8E5F463b89CdE378,citrus,30000000000000000000,62511588


