TokenID,coconut,citrus,fish,tobacco,cotton,pig,wood,sugarcane,grain,meat,coconut liquor,crate-packed citrus,crate-packed coconuts,barrel-packed fish,barrel-packed meat,bags,bag-packed tobacco,bag-packed grain,bag-packed cotton,bag-packed sugarcane,clay,bricks,planks,crates,barrels,wild game,stone
1,4,4,5,0.8667,2,0.3333,0.2,0.1667,0.25,0.4,3.3333,9,9,3,3,0.4,2.6667,2.6667,2.6667,2.6667,0.1,4,0,0,0,0,0
2,4,4,3.5,0.6667,1.2,0.2,0.1667,0,0,0,1,5,5,1.6667,1.6667,0.2,2,2,2,2,0,2,0,0,0,0,0
3,3,3,1.5,0.6667,1.2,0.2,0.2333,0,0,0,1.3333,6,6,2,2,0.3,2.3333,2.3333,2.3333,2.3333,0,3,0,0,0,0,0
4,3.75,3.75,1.5,0.6,0.8,0.1333,0.2167,0,0,0,2.25,5.75,5.75,1.9167,1.9167,0.375,1.5833,1.5833,1.5833,1.5833,0,3.75,0,0,0,0.95,0
5,0.5,0.5,1.5,0.5333,0.4,0.0667,0.1667,0,0,0,0.8333,1.5,1.5,0.5,0.5,0.05,1.5,1.5,1.5,1.5,0,0.5,0,0,0,0,0
6,2,2,1.5,1.0667,1.05,0.2,0.1333,0.3,0.45,0,1,4,4,1.3333,1.3333,0.2,1.3333,2.6667,1.3333,1.3333,0.25,4,0,0,0,0,0
7,2.25,2.25,4,0.8333,2.2,0.3667,0.1833,0,0,0,1.75,7.75,7.75,2.5833,2.5833,0.225,2.9167,2.9167,2.9167,2.9167,0,2.25,0,0,0,0,0
8,4,4,3,0.6,0.8,0.1333,0.1,0,0,0,1.6667,4,4,1.3333,1.3333,0.2,1,1,1,1,0,2,0,0,0,0,0
9,0.25,0.25,1.5,0.5333,0.4,0.0667,0.15,0,0,0,1.0833,1.25,1.25,0.4167,0.4167,0.025,1.4167,1.4167,1.4167,1.4167,0,0.25,0,0,0,0,0
10,2.25,2.25,3,0.7,1.4,0.2333,0.15,0,0,0,2.4167,5.75,5.75,1.9167,1.9167,0.225,1.9167,1.9167,1.9167,1.9167,0,2.25,0,0,0,0,0
11,0,0,1.5,0.6667,0.4,0.0667,0.1333,0.0667,0.1,0,0.6667,1,1,0.3333,0.3333,0,1.3333,1.3333,1.3333,1.3333,0,0,0,0,0,0,0
12,3,3,1.5,0.6,0.8,0.1333,0.1667,0,0,0,2.3333,5,5,1.6667,1.6667,0.3,1.3333,1.3333,1.3333,1.3333,0,3,0,0,0,0,0
13,4.25,4.25,2.5,0.6667,1.2,0.2,0.2167,0,0,0,1.4167,7.25,7.25,2.4167,2.4167,0.425,1.75,1.75,1.75,1.75,0,4.25,0,0,0,0,0
14,5,5,6.5,0.8,2,0.3333,0.1333,0,0,0,1.3333,8,8,2.6667,2.6667,0.3,2,2,2,2,0,3,0,0,0,0,0
15,0,0,1.5,0.6,0.4,0.0667,0.1333,0.0333,0.05,0.5,0.6667,1,1,0.3333,0.3333,0,8,1.3333,2.6667,1.3333,0.1,0,0,0,0,0,0
16,3,3,1.5,0.6667,1.2,0.2,0.2333,0,0,0,1.3333,6,6,2,2,0.3,2.3333,2.3333,2.3333,2.3333,0,3,0,0,0,0.8,0
17,4.25,4.25,3.5,0.6,0.8,0.1333,0.15,0,0,0,1.0833,4.25,4.25,1.4167,1.4167,0.225,1.4167,1.4167,1.4167,1.4167,0,2.25,0,0,0,0,0
18,2,2,3,1.2,1.6,0.2,0.1,0,0,0,1.6667,5,5,1.6667,1.6667,0.2,1.3333,1.3333,1.3333,1.3333,0.15,4,0,0,0,0,0
19,3,3,3.5,0.7333,1.6,0.2667,0.1333,0,0,0,1.6667,7,7,2.3333,2.3333,0.3,1.6667,1.6667,1.6667,1.6667,0,3,0,0,0,0,0
20,1.5,1.5,2.5,0.5333,0.4,0.0667,0.2333,0,0,0,1.1667,1.5,1.5,0.5,0.5,0.05,1.8333,1.8333,1.8333,1.8333,0,0.5,0,0,0,0,0
21,4,4,2,0.6667,0.8,0.1333,0.1667,0.0667,0.1,0.7,1.6667,5,5,1.6667,1.6667,0.3,8,1.3333,2.6667,1.3333,0.1,3,0,0,0,1.2,0
22,0,0,1.5,0.5333,0.4,0.0667,0.1333,0,0,0,0.6667,1,1,0.3333,0.3333,0,1.3333,1.3333,1.3333,1.3333,0,0,0,0,0,0,0
23,0.75,0.75,1.5,0.6,0.4,0.0667,0.1833,0.0333,0.05,0.575,0.9167,1.75,1.75,0.5833,0.5833,0.075,9.5,1.5833,3.1667,1.5833,0.1187,0.75,0,0,0,0,0
