ADDRESS,TOKEN_IDS
0x7e09fe61e54d51560cc0a2fa36574d9f2034b125,"732,702,1094,1005"
0x8ca010fff56976cec6ebaf66a5f3f6812236aa8e,"1745,169,1978,2424,2150,2148,1017,516,1287,1940,1425,2354,1597,2246,444,725,975,1917,1585,21,2382"
0x1302e7f449339b711edec50f80dc65610519f407,"710,1433,858,952,2185,183,2310,2122,1823,2406,744"
0xb266fe1113cff11dce60533134312690e4788b6a,"1011,1278,823,16,1441,1166,1819,664,545"
0x0ef06878fec13ae4a92bbbe82d94e9515287df5c,"375,1384,605,1995"
0x2e86687784ea2cd157005f5b200bdae6b20be313,"573,474,640,1,342,1236,768,1471,811,919,943,1091,1138,1161,1171,1513,1231,1270,1404,1519,1596,1655,152,1885,2058,2182,2255,2308,2391,91,213,137,2462"
0xe064c56263ed95dc14f008c490104f1ee7e9d2c1,"1554,1368,2485,2358"
0x4f8849a4e561c2fb2045cffe84f440140d786610,"85,1136"
0x52904ad47ec751e1a9f87de4d286761dd85a7f76,"1844,111,657,2206,2431"
0x60c5c003ffaee8dea12afbbda7481d5cbd5cc382,"584,577,447,549,642,674,767,775,785,809,847,1392,1429,1462,1607,1639,1813,1854,1867,1898,1901,1993,2174,2269,2273,2352,2362,1030,287,336,478,1053,1087,1156,1206,1208,10,47,90,108,238,1331,2423"
0x56c6f09f68e2cb6d0bdc3a7349e82c84b059d277,2435
0xf88d5fde8ea2a54c1b88dd1f279f050db7b5d138,"978,2101,1699,774,2491"
0x5973bf00521377cfa4e22dc51e8f7f733e8ef7a6,"290,1792,311,1508,559,362,407,451,485,743,1232,1668,1670,1876,1921,1925,949,1926,2082,2250,75,2473,2466,185"
0xc0faf6c468e281ecd878fdbb98bf66532776f807,"689,817,1292,1681,1864,1989,2254,2390,2399,45,352,465,683,892,449,291,1284,1760,343,1634,610,1488,1840,2198,2247,2251,2483,1861,1333,907,555"
0xfbf40842b8cf2496547e0e9207772513ac5f151f,"288,556,595,687,739,740,783,790,860,1039,1118,1207,1470,1546,1662,1945,1986,2036,2110,2151,2186,80,95,115,166,2464"
0x57bad518def9122f143c92df4eb67fac425cd160,"769,1711,417,190,2221,1693,2051"
0x5ecf130e55062db1a2e4eef7849bcd4e40288c81,"458,1082,1224,1403,1619,1720,2413,37,2234,344"
0xc1ac3aca96f92de4e819a0780e879d61f9e549a7,834
0x86758fe743e4151c5f52ac990bf80213eff2bf1e,"1056,307,1421,912,1367,448,186,187,855,146,776,852,1128,1176,1511,1700,101"
0x70ead81b5b5b2b7af352c48f598bb4ce41a25093,"1326,588"
0x82aad78a799da04ecc8d7fdc8723b324823f38f7,1475
0xd546a044dfae1d5359e3cbd69c83d8174187cff0,"1350,1638"
0xa59a77af24739b0e832294aabd3954670829de41,"35,1774,321,379,408,410,755,778,891,964,1027,1098,1246,1255,1375,1503,1959,2270,28,156,235,754,871,917,938,1163,1174,1478"
0x56fc3795f8fefa60b4ec9edd8e5f463b89cde378,"512,439,634,2205,1341,2286,742,1282"
0x51ebd73c2b0a717e463df30234b3475bae32ef45,"1045,2316"
0x0a56b931644b6e9696203ae677f188ef40c3d8c3,1060
0x01b4270911798d43c053a0ae7f8c98d1a28718d6,"191,295,1741,2417,2080,801,1762"
0xace1f0c05ea0efd531e91b3fc55b5c0090c61088,"1316,221"
0x0124b3ef01938106bbe79f04462d6944d78b6ae2,"234,2207,1371,331,815,1651,526,423,845,1200,1962,1621,2108,1476,1928,125,646,927,965,1120,1364,1455,1485,1615,1780,2059,2165,434,909"
0xd5353de54baa6eafb7b814fdeafc04594082a57b,2356
0x5604dad3ef9f0fe78699921a9f8ec0a4bea5ebe0,"2115,723,216"
0x1b6c502f9400f6619657d45f9686ea1991436c6c,2201
0x72ca00db7057c54b11a067767e41cd04471173b2,"2131,1072,1420,1778"
0x80ade958bb7d891c82edae1630949e80ddc70a36,"329,367,453,518,695,929,951,974,1089,1303,1979"
0x8446117bf01fbd24996f2223f50036d1b0e7663c,"1589,2045,1687,1319,1805,2085"
0xa1f0b62361c0c45d9129445a5bb9832409406af7,"1801,2421"
0x456480c55c72d5281987b712e4856a6b1cb9bf42,"552,1947,196,757,1262,1295,1360,1436,1464,1949,2253,34"
0x54e24ca5423bedabb832e462222d67ed8dce70de,"313,351,380,398,442,487,499,523,565,570,617,628,652,693,733,760,923,999,1007,1049,1147,1229,1247,1332,1348,1537,1542,1555,1595,1642,1738,1870,1924,1931,1956,2030,2107,27,112,174,181,212,219,277,298,335,339,435,481,500,731,802,835,940,1162,1347,1491,1594,1673,1826,1897,2008,2208,2309,2320,2355,2384,39,64,81,300,936"
0x4c446a2c63e36a1ba09235855527fcc89df447df,"358,402,1935,1953,2317,61,2349,2081"
0x0c41271c14570ab79d05802c4ebedd42ba49b112,"922,1767,806,1158,1205,720,308,431,675,378,1710,2196,1649,781,627"
0xadd6805b30ef7187a3b6cdfee4060a3f0c98a248,"278,2353,71,705,981,2289,950,1155,901,750,1540,827,1684,164,583,2183,1894,1961,1912,1465,1179,2214,795,1374,254,1261,1839,411,2233,2291,1849,2068,2279,1879,1847,1704,69,1836,1068,1908,1790,247,1042,1259,2340,60,2041,153,2237,1325,593,1664,1896,23,5,432,2216,179"
0xc40dc42b880b4ea89d7d25b44e7730646f1a453e,"597,861,1391,1784,2368"
0x7aa2a5cf4c46586fb69e4067462a6a4b59ae4cb0,"669,272,340,1182,1544,1723,2370,2463,2479"
0x17dd8d739608ba385588d747c490f1394dc2fbb9,"260,887,1195,1328,1439,1492,1573,1848,1955,2000,2047,160,2294,158,72,229,2219"
0x4baf5ac3709e3bd14f71e420456664e6e3b8cbb5,"264,356,395,537,641,856,1268,1686,1794,2125,2149,2248,13,65,231"
0xd4e8a881d10382a621948a3e25d2d25be5371317,1946
0xf8b30f382450560783b414beaec93f03e762a5d7,"316,1235,1753,2105,2469"
0xa525f0e47c0e670a5fbc62ad40e84199faf07c90,1977
0x66e121b6ef21c0b8dc11606bfa5ff8ae55d0a62b,"1558,2283"
0xe06cc086c3babf8fea8b08e0bacb4030f9ad5740,"2189,819,611,2217"
0x73bcf72133f9ee42d62545d4410abd448dae48ee,58
0xd483459b3f5d4cc9390f87f75c7ed4b68bfe1031,"1012,1407,1111,719,954"
0xa48d5212a1e47c3f3b6d2f70835ed36ece675bfd,1117
0x6d187bf0fd2ebed97bf4c64057589f8d92a19ef2,"694,531,763,2360,57,68"
0xea2f948a2369c70eb107b4898199bb7c8fb8d2db,"162,2075,1134"
0x96fb54b063555e63942f2d90c8766b376411882d,"495,2343"
0xb4a2a38cca67e13d4ea36ff298bb31835ce9e43f,"2455,629,2446,2484,2487,2136"
0x0b8500fea99b898cba6327b90098a23f9440e415,"333,476,899,925,941,1320,1535,1994,1999,2328,2388,33"
0x9b8d7f5030a7268684cebdbb41ad57b3c03da550,"322,409,519"
0x9788395630e5da7c9b864b7c32c2d683327c0e74,970
0x4d0dbd092b0c5d343ce7961cd607495ec44ab11d,"252,1352,1414,1821,1981,2026,2345,2425,139"
0xa7e0a238f2d9c4971effa7ef41001f3a200fd1a9,"2146,2179,2468,2490,1757,2471,2475,2472,2494,2489,2477,2482,2478,24,2470,2492,2467"
0x15c3d6298743e3115df3794f6da20ec4079d1eee,"302,401,717,2060,1225,1473,1691,149"
0xadbf145993b6a3b00663b24a8dad3fd97e8114ae,"651,1703"
0xd4ac53d0a45d1c5484e89d03d5d155c3914aa255,2242
0x955103204983f48d4f4f32926ba0d03aeaa70280,"460,2326,2438,747,2200"
0x8312f763a8a339f9979f74214f9b77ef0cced83c,"924,1960"
0x12ae74f14479f00339a52958e201dcfd035c1d2c,"520,20,2280,2077,1922,1437,2013,2012,1577,135,214,1486,1260,1605,1771,1825,1003,1856,756,1214,894,1353,1251,998,2100,1217"
