ADDRESS,TOKEN_IDS
0xa59a77af24739b0e832294aabd3954670829de41,"519,7642,9557,281,549,702,821,823,858,862,1061,1494,1617,1665,1910,1960,2044,2215,2329,3147,2986,3354,3414,3764,10729,10185,10684,7931,5308,9680,518,569,10757,5446,8295,548,9010,7557,4195,10058,4691,4896,6592,10368,9176,9225,5191,5628,6053,6865,7144,9632,6643,5206,9932,6687,8628,8769,8785,7396,3840,4575,6891"
0x70ead81b5b5b2b7af352c48f598bb4ce41a25093,526
0x8ca010fff56976cec6ebaf66a5f3f6812236aa8e,"511,4980,8989,3321,3767,4787,4955,5898,7065,9516,10071,8397"
0xf57041b67f874dde17e0a5a7494b1c1bb9d0945a,"1029,2788,1767,8190,2840"
0x12ae74f14479f00339a52958e201dcfd035c1d2c,"1940,8863"
0x0124b3ef01938106bbe79f04462d6944d78b6ae2,"180,3801,5033,516,581,680,749,1377,2808,4158,4345,4753,5181,5593,6423,6934,7253,7627,7867,9089,9178,9458,9562,9574,9958,9987,10614,10694,5420,4967,571,590,2031,6304,8229,8334,3652"
0x5973bf00521377cfa4e22dc51e8f7f733e8ef7a6,"2251,1007,4600,1228,1714,1436,1535,1964,2712,2829,3344,3899,4567,4628,4659,3276,3280,9365,7206,10524,10781,10166,9926,8810,8548,830,3159,4505,5725,8311,493,567,1452,10527,9373,1212,863,1578,1834,261,2369,1009,3726,4786,114,9053,5216,2295,6079,6652,6400,6752,7070,7850,8498,9083,1369,8575,5792,504,152,168,4699,6553,8624,530,542,962,6030,343,293,336,212,428,68,6222,4322,5881,268,3248,359,50,46,51,6126"
0xadd6805b30ef7187a3b6cdfee4060a3f0c98a248,"9109,8102,7561,503"
0xb4a2a38cca67e13d4ea36ff298bb31835ce9e43f,"6386,6300,294,424,7355,280,126,352,8905,8674,3221,2505,137,4"
0xc0faf6c468e281ecd878fdbb98bf66532776f807,"311,505,536,10753,10307,10111,9626,9383,9211,9043,8812,4718,8586,8515,6059,6120,5326,5312,652,2646,2605,5646,2882,7933,1553,5757,9172,5974,9662,9313,7404,6331,1942,3799,5840,3927,6271,1667,3055,4722,4868,5176,328,175,287,202,7502"
0xb266fe1113cff11dce60533134312690e4788b6a,"9481,10590,10223,494,4225,4294,7315,4853,4553,9300,7966,7817,3546,3141,2305,930,9322,5217,7570,5768,9678,331,97"
0xa7e0a238f2d9c4971effa7ef41001f3a200fd1a9,"3592,4261,220,63,65,357,389,394,302,337,252,387,383,238,177,17,16,400,368,361,315,309,270,206,196,193,163,135,118,83,14,200,13,71,198,423,38,399,264,409,360,205,15,147,146,173,411,2115,169,4966,10795,3625,4717,6206,6451,6528,417,392,44,10302,8895,7724,7255,223,255,6785,5999"
0x7aa2a5cf4c46586fb69e4067462a6a4b59ae4cb0,"7717,1362,6456,9002,6002"
0x52904ad47ec751e1a9f87de4d286761dd85a7f76,"499,7455,7580,85"
0xf88d5fde8ea2a54c1b88dd1f279f050db7b5d138,"645,2678,131,91,161,3073,9518"
0x01b4270911798d43c053a0ae7f8c98d1a28718d6,"525,9205,2000,5080,5851,6147,5578,5365,6864,8650,10831,10660"
0x4c446a2c63e36a1ba09235855527fcc89df447df,"498,1080,1208,1235,1864,4558,7762,7956,9940"
0x72ca00db7057c54b11a067767e41cd04471173b2,"445,859,8656,4704,354,444,27,414,76,31,295,273,6,132,234,245"
0x54e24ca5423bedabb832e462222d67ed8dce70de,"4769,7387,7856,9792,540"
0x15c3d6298743e3115df3794f6da20ec4079d1eee,"2474,446,2310,3967,4834,5113,5825,6125,6707,6856,7633,7687,8505,8801,8834"
0xe064c56263ed95dc14f008c490104f1ee7e9d2c1,"2059,2643,5939,70,1552"
0x1302e7f449339b711edec50f80dc65610519f407,"289,390,329,388"
0x8446117bf01fbd24996f2223f50036d1b0e7663c,"90,214,160,375,403,265,286,182,127,201,107,154"
0x4f8849a4e561c2fb2045cffe84f440140d786610,"517,5826"
0xace1f0c05ea0efd531e91b3fc55b5c0090c61088,"6501,346,10158,60,2245,219,547,10202,6694,1188,4810"
0x56c6f09f68e2cb6d0bdc3a7349e82c84b059d277,"1803,514"
0x56fc3795f8fefa60b4ec9edd8e5f463b89cde378,"497,529,2220,3868,10064,9334,9260,8651,8005,7734,7519,3964,3946"
0x456480c55c72d5281987b712e4856a6b1cb9bf42,"7658,25,59,186"
0x4baf5ac3709e3bd14f71e420456664e6e3b8cbb5,"509,575,1064,1221,1423"
0x5ecf130e55062db1a2e4eef7849bcd4e40288c81,"8935,4146,496"
0xf8b30f382450560783b414beaec93f03e762a5d7,"8965,507,303"
0x17dd8d739608ba385588d747c490f1394dc2fbb9,"5774,5632,5633"
0x4d0dbd092b0c5d343ce7961cd607495ec44ab11d,"9537,432"
0xfbf40842b8cf2496547e0e9207772513ac5f151f,"7987,6286,6887,4406,3044,3,5413,26,96"
0x9788395630e5da7c9b864b7c32c2d683327c0e74,"66,513,602,887,1207,5356,5647"
0xc1ac3aca96f92de4e819a0780e879d61f9e549a7,"10413,6928,531"
0x8312f763a8a339f9979f74214f9b77ef0cced83c,5492
0x72e7edf9fa91f9c3628b7390ae0d18eaf3d09a05,"3955,5487,10569,8265"
0x2e86687784ea2cd157005f5b200bdae6b20be313,"1078,502"
0x0c41271c14570ab79d05802c4ebedd42ba49b112,"7024,1300,4455,2206,9476,3174,5017,386,10473,10531,1388,8811,3444,742,4864,7305,6608,5177"
0x60c5c003ffaee8dea12afbbda7481d5cbd5cc382,"544,732,1637,4070,4848,9946,6193,5117"
