Previous Beneficiary,New Beneficiary,Contract Address
0x9F650f2C47Bf07FE5acc564040B987343722f84f,0x2B8470F6129baeB0Ee1eDcc1BD00b6717988b4A6,0x41e543B53e3b67584beA2b990eA32344c9445B73
0x6A55D0F3a1FDfF462013fCB10d95e017688813E2,0x8Df3F20498C6E661127eaBbA4281894370eB4Ae6,0x41e543B53e3b67584beA2b990eA32344c9445B73
0x169C82519Ea310129cF9D28DfD36b82E787cE5c8,0x6B35be0cA0d77cf2228017d121955629da3BBf2b,0x41e543B53e3b67584beA2b990eA32344c9445B73
0xFDaD752C7f72564AC7b5b7DBe5FA0d52dc7B7E95,0x09d7E317aeb6AaCf652Ab043A9596614bA59F6dE,0x41e543B53e3b67584beA2b990eA32344c9445B73
0xFaC2061d6c3f8c5856d5b5f0624984a959623A0A,0x6d0393074E0D6638e664B9805e6A3d8753e00eA8,0x41e543B53e3b67584beA2b990eA32344c9445B73
0x23529C392B481E0dA33F0f58a18F37f57603b5b2,0xC2d740115Bb5E1dc305b292B25CBebe22E20CbE0,0x41e543B53e3b67584beA2b990eA32344c9445B73
0x071ed6c5522D02f104c9B07f29C7dD1D8515cee9,0x706dDce362936a0F801Be74D42B46B4a80bd8483,0x41e543B53e3b67584beA2b990eA32344c9445B73
0xAEed94C554ab9ECF15a3F9d6e0673a3a83D08790,0x45d09A86A9BD2eF3a76687c950aaB61853133272,0x41e543B53e3b67584beA2b990eA32344c9445B73
0xFE03Ea2901fFc6DB88E7Dc2410B0e98DfF8f50aB,0xb4721e01Eb007904f3846db9c80AaF586861D5b0,0x7452b88d1eA57D76b0C9F46695ec9d8204eE4F24
0xb6a41f8B042994D33C11aB3C84ba16cD5B1cbaEb,0xd460886dE55ae2736da32211f4920b2d8b062Bf7,0x7452b88d1eA57D76b0C9F46695ec9d8204eE4F24
0xBb21AaFc3e15CBF3dB813B48C9508dF543696bab,0xF086A4ba95c5F395496244008B32d2363FA56331,0x7452b88d1eA57D76b0C9F46695ec9d8204eE4F24
0x2111FE8f1a3f2945efF1441b7ae6Ca80a9e3579e,0xE45E2a36429a41a7df19c77Fc1adC7fBBB1EBaDB,0x7452b88d1eA57D76b0C9F46695ec9d8204eE4F24
0x806CAFaA1B34C9b9d2fC33BBAe3DE209E9D137E0,0xbC409f164fe50593b43203cBCc36a99B480AF5a5,0x7452b88d1eA57D76b0C9F46695ec9d8204eE4F24
0xdE22659Db9Db6C6AAD1e2E6D079FC7cD0271d836,0x09915de7788c1D5C6eD60E30d4f315AAe48E77BD,0x7452b88d1eA57D76b0C9F46695ec9d8204eE4F24
0xA5468ee5d1C75a41198c3bB8E7a16A10A217068F,0x746d2a189e76E54ab36dC47867C24123C0480851,0x7452b88d1eA57D76b0C9F46695ec9d8204eE4F24
0x928C9bB43E4821c08cA059040890A6d4A60365ee,0x98aacD4b27dD82918718A8c63d1C051Cb09de118,0x7452b88d1eA57D76b0C9F46695ec9d8204eE4F24
0x86758FE743E4151c5f52aC990Bf80213eFF2BF1E,0x439CefB9C152e83746A06AA81A1fDDB45503CF3F,0x7452b88d1eA57D76b0C9F46695ec9d8204eE4F24
0x59cE5883625375E8F10caFa890e482fe78396d6e,0xA5305Cf68a02111100dd3220780820F7Ff23c7b9,0x7452b88d1eA57D76b0C9F46695ec9d8204eE4F24
0x36ceDaf98679d123270929A46b9350ff9758A715,0x21606eE18fc1c9B398c25f56e98E6035ab434299,0x7452b88d1eA57D76b0C9F46695ec9d8204eE4F24
0x6AF6e441FCC0fd34D60663633Db4B217A2Ee7428,0xD58331999daD6f4D0f95d03762Bf4c72eb2ebc92,0x7452b88d1eA57D76b0C9F46695ec9d8204eE4F24
0x53fFAEB4781cB8B86b1a37dA2E8d6CFa0244c3d7,0x937E67e51CA08d79bf5d694F7D4EA2F7873ecb9A,0x7452b88d1eA57D76b0C9F46695ec9d8204eE4F24
0x836F0f47663710d69aD923968eC73255692e538D,0xD03c5AECaa2dA3B5642a58dF625122aeF30CcF22,0x6821a79C7654A7D85CD1aD86C6BaE9E69b1C7EcE
0xC40BdC3eB2DD099401e2f39f7fF420296C9C1032,0xBCFBb3aa1a933ec62A45c0F0dC3071193C23478E,0x6821a79C7654A7D85CD1aD86C6BaE9E69b1C7EcE
0x368B359B31abFe02646053A10432D0E0dA5F4Cbd,0x51B2f8465eeEd659bae1DA7d78718c5444002F29,0x6821a79C7654A7D85CD1aD86C6BaE9E69b1C7EcE
